Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ish Smith,PG,32,WAS,11,0,19.3,2.5,6.5,.394,0.4,1.1,.333,2.2,5.4,.407,.423,0.5,1.2,.385,0.5,2.8,3.4,4.0,0.6,0.3,1.0,1.1,5.9
Jalen Smith,PF,20,PHO,2,0,10.0,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,1.0,.000,1.5,1.0,2.5,0.5,0.0,0.5,0.5,0.5,2.0
Tony Snell,SG,29,ATL,4,0,10.3,1.0,2.8,.364,1.0,2.3,.444,0.0,0.5,.000,.545,0.0,0.0,0,0.3,1.0,1.3,0.8,0.0,0.3,0.0,1.5,3.0
Cassius Stanley,SG,21,IND,6,0,3.3,0.3,1.0,.333,0.2,0.3,.500,0.2,0.7,.250,.417,0.7,0.8,.800,0.2,0.2,0.3,0.0,0.0,0.2,0.2,1.0,1.5
Lamar Stevens,PF,23,CLE,9,0,14.2,1.7,4.1,.405,0.1,0.8,.143,1.6,3.3,.467,.419,0.9,1.1,.800,0.3,1.9,2.2,0.8,0.4,0.0,0.3,0.7,4.3
Isaiah Stewart,C,19,DET,11,0,16.6,1.9,4.0,.477,0.0,0.1,.000,1.9,3.9,.488,.477,0.5,0.8,.667,3.1,2.3,5.4,0.8,0.4,0.6,0.5,2.7,4.4
Edmond Sumner,SG,25,IND,6,3,15.2,2.8,5.3,.531,0.5,2.0,.250,2.3,3.3,.700,.578,0.5,1.0,.500,0.8,1.3,2.2,1.0,1.2,0.0,1.0,1.3,6.7
Jeff Teague,PG,32,BOS,10,2,19.4,2.3,6.8,.338,0.9,1.9,.474,1.4,4.9,.286,.404,1.8,2.1,.857,0.4,2.0,2.4,2.5,1.5,0.2,1.0,1.5,7.3
Garrett Temple,SG,34,CHI,13,2,26.7,3.5,7.2,.489,1.9,4.5,.431,1.6,2.8,.583,.622,0.9,1.2,.800,0.5,2.1,2.5,1.9,1.0,0.2,1.2,2.8,9.9
Tyrell Terry,PG,20,DAL,8,0,4.9,0.5,1.4,.364,0.0,0.8,.000,0.5,0.6,.800,.364,0.0,0.1,.000,0.0,0.5,0.5,0.5,0.5,0.0,0.1,0.1,1.0
Daniel Theis,C,28,BOS,12,10,22.2,3.3,5.8,.580,0.5,1.9,.261,2.8,3.8,.739,.623,0.3,0.8,.333,1.3,3.9,5.2,1.3,0.3,0.8,1.1,2.3,7.4
Brodric Thomas,SG,24,HOU,3,0,6.3,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,1.0,1.7,.600,0.3,0.7,1.0,1.3,0.0,0.0,1.0,1.7,1.7
Matt Thomas,SG,26,TOR,5,0,10.2,1.8,3.8,.474,1.4,2.6,.538,0.4,1.2,.333,.658,0.2,0.2,1.000,0.0,1.0,1.0,1.0,0.4,0.0,0.2,0.4,5.2
Tristan Thompson,PF,29,BOS,10,10,23.1,3.0,6.1,.492,0.0,0.0,0,3.0,6.1,.492,.492,1.4,2.2,.636,3.1,5.4,8.5,0.7,0.4,0.8,1.4,2.5,7.4
Sindarius Thornwell,SG,26,NOP,4,1,8.0,0.3,1.5,.167,0.0,0.3,.000,0.3,1.3,.200,.167,0.0,0.0,0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5
Matisse Thybulle,SG,23,PHI,11,0,13.5,1.1,3.1,.353,0.6,2.2,.292,0.5,0.9,.500,.456,0.3,0.5,.600,0.1,1.3,1.4,0.8,1.1,0.7,0.4,1.4,3.1
Xavier Tillman Sr.,PF,22,MEM,8,1,20.8,4.0,7.1,.561,0.3,1.3,.200,3.8,5.9,.638,.579,0.4,0.5,.750,1.1,2.8,3.9,1.6,1.4,0.5,0.4,2.0,8.6
Obi Toppin,PF,22,NYK,5,0,12.0,1.8,5.0,.360,1.0,2.8,.357,0.8,2.2,.364,.460,0.4,0.4,1.000,0.2,2.4,2.6,0.8,0.4,0.6,0.4,0.4,5.0
Juan Toscano-Anderson,SG,27,GSW,6,2,15.0,1.2,1.5,.778,0.3,0.7,.500,0.8,0.8,1.000,.889,0.5,0.8,.600,0.2,3.2,3.3,1.8,0.3,0.7,0.8,1.7,3.2
Karl-Anthony Towns,C,25,MIN,4,4,33.0,7.3,15.8,.460,1.5,4.0,.375,5.8,11.8,.489,.508,6.0,6.3,.960,4.0,8.5,12.5,4.3,0.5,2.8,2.5,2.8,22.0
Gary Trent Jr.,SG,22,POR,12,0,24.3,3.9,9.3,.423,2.3,5.3,.422,1.7,3.9,.426,.545,0.7,1.0,.667,0.5,1.3,1.8,1.2,0.3,0.1,0.5,1.4,10.8
P.J. Tucker,PF,35,HOU,12,12,32.5,1.8,4.1,.449,1.3,2.8,.441,0.6,1.3,.467,.602,0.6,0.8,.778,0.9,3.9,4.8,1.6,1.1,0.8,1.3,3.3,5.5
Myles Turner,C,24,IND,12,12,31.7,4.6,9.8,.470,1.3,4.4,.283,3.3,5.3,.625,.534,2.0,2.7,.750,1.4,5.4,6.8,1.1,1.5,4.2,1.3,3.4,12.4
Jonas Valančiūnas,C,28,MEM,12,12,26.8,5.6,10.5,.532,0.3,1.2,.286,5.3,9.3,.563,.548,2.9,4.0,.729,2.7,7.8,10.4,1.8,0.8,1.0,2.3,3.7,14.4
Denzel Valentine,SG,27,CHI,10,0,18.9,2.9,6.8,.426,1.6,3.9,.410,1.3,2.9,.448,.544,0.2,0.2,1.000,0.2,4.4,4.6,1.9,1.0,0.1,0.7,0.8,7.6
Jarred Vanderbilt,PF,21,MIN,10,1,16.3,2.2,3.3,.667,0.0,0.0,0,2.2,3.3,.667,.667,1.1,2.3,.478,1.3,4.1,5.4,1.5,1.3,0.5,0.9,1.8,5.5
Fred VanVleet,SG,26,TOR,13,13,35.7,6.9,16.8,.411,3.4,9.3,.364,3.5,7.5,.469,.511,1.8,2.1,.852,0.8,3.6,4.4,6.3,1.3,0.5,1.8,2.1,19.0
Devin Vassell,SG,20,SAS,13,0,17.3,1.7,4.6,.367,0.8,2.3,.367,0.8,2.3,.367,.458,0.7,0.7,1.000,0.7,3.0,3.7,1.3,1.3,0.3,0.2,1.2,4.9
Gabe Vincent,PG,24,MIA,5,3,22.2,4.0,11.0,.364,2.2,6.8,.324,1.8,4.2,.429,.464,1.6,2.0,.800,0.0,1.8,1.8,2.8,0.6,0.0,1.6,3.2,11.8
Nikola Vučević,C,30,ORL,14,14,31.7,9.3,17.9,.520,2.6,6.2,.425,6.6,11.6,.571,.594,1.7,2.1,.800,2.4,8.6,11.0,3.5,1.3,0.5,1.3,1.6,22.9
Dean Wade,PF,24,CLE,12,0,11.5,0.9,2.5,.367,0.6,1.7,.350,0.3,0.8,.400,.483,0.2,0.2,1.000,0.3,1.2,1.5,0.6,0.4,0.1,0.4,0.9,2.6
Moritz Wagner,C,23,WAS,5,0,13.6,2.2,3.4,.647,0.8,1.4,.571,1.4,2.0,.700,.765,1.2,1.6,.750,0.4,3.6,4.0,0.8,0.2,0.0,0.2,3.6,6.4
Kemba Walker,PG,30,BOS,1,1,20.0,3.0,13.0,.231,1.0,8.0,.125,2.0,5.0,.400,.269,2.0,3.0,.667,0.0,3.0,3.0,4.0,3.0,0.0,5.0,1.0,9.0
Lonnie Walker,SG,22,SAS,14,14,28.9,4.8,11.4,.419,1.9,4.9,.382,2.9,6.6,.446,.500,1.7,2.2,.774,0.4,2.9,3.2,1.7,0.5,0.6,1.0,2.2,13.1
John Wall,PG,30,HOU,7,7,33.9,7.0,15.4,.454,1.4,4.4,.323,5.6,11.0,.506,.500,3.1,3.7,.846,0.7,4.0,4.7,5.1,1.3,1.0,3.4,1.3,18.6
Brad Wanamaker,PG,31,GSW,13,0,15.8,1.3,4.0,.327,0.5,1.5,.316,0.8,2.5,.333,.385,1.5,1.7,.864,0.3,1.5,1.8,2.9,0.8,0.2,0.8,1.6,4.5
P.J. Washington,PF,22,CHO,14,14,28.9,4.5,10.6,.426,1.2,3.4,.362,3.3,7.2,.455,.483,2.7,3.7,.731,1.9,5.3,7.1,3.0,0.9,1.4,2.1,3.2,12.9
Tremont Waters,PG,23,BOS,5,1,9.8,0.8,2.6,.308,0.6,1.4,.429,0.2,1.2,.167,.423,0.8,0.8,1.000,0.2,0.4,0.6,2.8,0.6,0.0,1.8,0.8,3.0
Russell Westbrook,PG,32,WAS,7,7,37.1,7.3,19.3,.378,1.4,4.7,.303,5.9,14.6,.402,.415,3.3,5.0,.657,1.0,8.7,9.7,11.3,1.3,0.3,5.3,3.3,19.3
Coby White,PG,20,CHI,14,14,34.6,5.8,14.4,.403,2.4,6.7,.351,3.4,7.6,.449,.485,1.9,2.3,.844,0.6,4.6,5.2,5.9,0.4,0.1,2.9,2.6,15.9
Derrick White,SG,26,SAS,1,0,23.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0
Hassan Whiteside,C,31,SAC,9,0,12.7,2.6,4.9,.523,0.0,0.0,0,2.6,4.9,.523,.523,1.3,2.7,.500,1.0,3.2,4.2,0.6,0.2,1.1,0.8,1.4,6.4
Andrew Wiggins,PF,25,GSW,13,13,32.7,6.6,14.9,.443,2.1,5.4,.386,4.5,9.5,.476,.513,2.5,3.5,.711,0.8,3.7,4.5,2.4,0.5,1.6,1.8,2.5,17.8
Grant Williams,PF,22,BOS,10,2,20.1,2.0,4.8,.417,0.7,2.2,.318,1.3,2.6,.500,.490,0.3,0.9,.333,1.3,2.0,3.3,0.7,0.6,0.5,0.8,3.1,5.0
Kenrich Williams,PF,26,OKC,13,0,11.6,1.2,2.7,.457,0.3,0.8,.400,0.9,1.9,.480,.514,0.5,0.6,.875,0.6,1.5,2.1,1.0,0.5,0.3,0.5,1.4,3.3
Lou Williams,PG,34,LAC,12,0,19.7,3.4,7.8,.436,0.8,2.2,.385,2.6,5.7,.456,.489,1.7,2.1,.800,0.3,1.7,1.9,2.6,0.7,0.1,0.8,0.9,9.3
Patrick Williams,PF,19,CHI,13,13,26.9,3.8,7.8,.485,1.1,2.2,.500,2.7,5.6,.479,.554,1.5,1.8,.870,0.8,3.1,3.8,1.1,0.8,0.8,1.7,2.7,10.2
Robert Williams,C,23,BOS,8,0,16.4,3.0,3.9,.774,0.0,0.1,.000,3.0,3.8,.800,.774,0.8,0.9,.857,2.5,4.0,6.5,0.6,1.1,1.5,1.4,1.3,6.8
Zion Williamson,PF,20,NOP,12,12,32.6,9.5,16.1,.591,0.0,0.3,.000,9.5,15.8,.600,.591,4.4,6.9,.639,3.2,4.8,8.0,1.8,1.1,0.4,2.8,2.6,23.4
D.J. Wilson,PF,24,MIL,7,0,10.1,1.6,3.7,.423,1.0,2.3,.438,0.6,1.4,.400,.558,0.1,0.3,.500,0.4,2.3,2.7,0.4,0.1,0.3,0.6,1.3,4.3
Cassius Winston,PG,22,WAS,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
James Wiseman,C,19,GSW,13,13,20.6,4.5,9.2,.483,0.5,1.2,.400,4.0,8.1,.495,.508,1.3,2.2,.586,1.2,4.8,6.0,0.4,0.5,1.5,1.8,3.5,10.7
Christian Wood,C,25,HOU,11,11,33.5,9.5,17.6,.536,1.7,4.7,.365,7.7,12.9,.599,.585,3.2,4.7,.673,2.2,8.5,10.7,1.4,0.6,1.7,2.0,2.4,23.8
Delon Wright,SG,28,DET,13,8,25.8,2.5,6.5,.376,0.7,2.1,.333,1.8,4.5,.397,.429,1.5,1.8,.870,0.8,2.8,3.6,4.1,0.8,0.6,0.9,0.7,7.2
Thaddeus Young,PF,32,CHI,10,0,23.5,4.6,8.0,.575,0.4,1.4,.286,4.2,6.6,.636,.600,0.8,1.3,.615,1.5,2.8,4.3,3.0,0.9,0.4,2.2,2.5,10.4
Trae Young,PG,22,ATL,13,13,32.7,6.4,16.5,.386,1.5,5.6,.274,4.8,10.9,.444,.433,8.6,9.7,.889,1.0,3.5,4.5,8.9,0.7,0.2,4.3,2.1,22.9
Cody Zeller,C,28,CHO,1,1,19.0,3.0,6.0,.500,0.0,2.0,.000,3.0,4.0,.750,.500,0.0,1.0,.000,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,6.0
Ivica Zubac,C,23,LAC,14,1,18.1,2.7,3.9,.691,0.0,0.0,0,2.7,3.9,.691,.691,1.9,2.4,.788,1.6,3.1,4.6,1.0,0.5,0.9,1.0,2.4,7.3
